Country,# of Shops,Population,Density
Alameda,3616,1671329,2.163547692
Alpine,29,1129,25.68644818
Amador,170,39752,4.276514389
Butte,601,219186,2.741963447
Calaveras,187,45905,4.073630323
Colusa,87,21547,4.037685061
Contra Costa,1633,1153526,1.415659465
Del Norte,93,27812,3.343880339
El Dorada,635,192843,3.292834067
Fresno,2001,999101,2.002800518
Glenn,81,28393,2.852815835
Humboldt,507,135558,3.74009649
Imperial,344,181215,1.898297602
Inyo,111,18039,6.153334442
Kern,1923,900202,2.136187211
Kings,254,152940,1.660782006
Lake,215,64386,3.339235237
Lassen,71,30573,2.322310535
Los Angeles,18781,10039107,1.870783925
Madera,321,157327,2.040336369
Marin,902,258826,3.484966734
Mariposa,79,17203,4.592222287
Mendocino,448,86749,5.164324661
Merced,484,277680,1.743013541
Modoc,47,8841,5.316140708
Mono,180,14444,12.46192191
Monterey,1368,434061,3.151630762
Napa,1193,137744,8.660994308
Nevada,359,99755,3.598817102
Orange County,6714,3175692,2.114184877
Placer,1113,398329,2.794172656
Plumas,158,18807,8.40112724
Riverside,4115,2470546,1.665623712
Sacramento,3058,1552058,1.970287193
San Benito,144,62808,2.292701567
San Bernardino,3539,2180085,1.6233312
San Diego,7398,3338330,2.216078099
San Francisco,4233,881549,4.801775057
San Joaquin,1540,762148,2.020604922
San Luis Obispo,1232,283111,4.35165006
San Mateo,1932,766573,2.520307916
Santa Barbara,1499,446499,3.357230363
Santa Clara,3899,1927852,2.022458156
Santa Cruz,806,273213,2.950079242
Shasta,539,180080,2.993114171
Sierra,31,3005,10.31613977
Siskiyou,203,43539,4.662486506
Solano,826,447643,1.84522041
Sonoma,1973,494336,3.991212455
Stanislaus,1174,550660,2.13198707
Sutter,219,96971,2.258407153
Tehama,164,65084,2.51982054
Trinity,83,12285,6.756206756
Tulare,935,466195,2.005598516
Tulolumne,209,54478,3.836411028
Ventura,1783,846006,2.107550065
Yolo ,528,220500,2.394557823
Yuba,167,78668,2.122845376
